PhishID,URL,HTML,JS,CSS,Images,Not Found,Forbidden,Favicon,ScreenShot,Status Code,PhishyURL
8246836,http://www.bob-crypto.com,0,0,0,0,0,0,0,0,0,
8246829,https://grupobancolombia.com-mua-virtual.repl.co/,1,1,1,0,0,0,1,1,200,
8246828,https://my-business-108400-109269.square.site/,1,1,1,0,0,0,1,1,200,
8246827,https://98ee07d39903.godaddysites.com/,1,1,1,1,0,0,1,1,200,
8246824,https://bantuankerajaanxbvn.unlynd.com/xsnl/,1,1,1,1,0,0,1,1,200,
8246822,https://1inchs.network/claim,1,1,1,1,0,0,0,0,200,
8246810,https://apple-tsuchiya.com/.../...sgrid-connect/,1,1,0,0,0,0,0,0,200,
8246807,http://saksfifthavenues-mall.com,1,1,1,0,0,0,0,1,200,
8246804,https://docs.google.com/presentation/d/e/2PACX-1vQvAHQZovOnDkh4o64HXR9GvJq3Sng2e3WQyqcGM8AOX4IlDhivVDVdPy6rP1hClAgeV9tcgbIaXyi7/pub?start=false&loop=false&delayms=3000&slide=idp,1,1,1,0,0,0,1,1,200,
8246798,http://saksfifthavenues-sales.com,1,1,1,0,0,0,0,0,200,
8246764,https://bhytvb765f7v.ru/438a5870c,0,0,0,0,1,0,0,0,0,
8246756,https://docs.google.com/presentation/d/e/2PACX-1vSVDECuHh0-WTHteL3DfbitVJoIhY3wBajywMTUHNQmSTQ7yI_Jbv9KRHIeIPWhxz9BXlw-FW-ZWfcC/pub?start=false&loop=false&delayms=3000&slide=id.p,1,1,1,0,0,0,1,1,200,
8246755,https://sistapa1.wixsite.com/my-site,0,0,0,0,1,0,0,0,0,
8246754,https://vagopros.com/firstfinancial/,1,0,1,1,0,0,0,1,200,
8246753,https://tramitevirtualgocr.webnode.cr/certificacion-municipal/,1,1,1,1,0,0,1,1,200,
8246752,https://tramitevirtualgocr.webnode.cr,1,1,1,1,0,0,1,1,200,
8246752,https://tramitevirtualgocr.webnode.cr,1,1,1,1,0,0,1,1,200,
8246751,https://tramitevirtualgocr.webnode.cr/formulario/,1,1,1,1,0,0,1,1,200,
8246748,https://aulh-blncr-fi.xyz/,1,1,1,1,0,0,1,1,200,
8246744,http://chevroletseminuevoslinares.com.mx,1,1,1,1,0,0,0,0,200,
8246742,https://nab-verification-au.com,1,1,1,0,0,0,0,1,200,
8246741,https://copeservidorescitacr.webnode.es,1,1,1,1,0,0,1,1,200,
8246739,https://copeservidorescitacr.webnode.es/inicio-de-sesion/,1,1,1,1,0,0,1,1,200,
8246738,https://solicituddecita-cr.webnode.cr/solicitud-de-cita/,1,1,1,1,0,0,1,1,200,
